Style #	Factory	Cust Del	Description	Fabric/ Trim	Type	Units	Pack	Price	Rate	LC	Extra Cost	Total Cost	Actual Selling Price	Margin Achieved	Cost	Revenue	Profit	Profit Per Pack	1	2
									0,00											
TP131	YZM	04-May-20	Cerise & ink t shirt long line	t-shirt bra	Lace & mesh	1500	2	13,95	42,00	 R94,50 	 R23,00 	 R117,50 	129,50	9,27%	 R176 250,00 	 R194 250,00 	 R18 000,00 	 R12,00 	2,25	1,13
TP132	YZM	04-May-20	Cerise & ink & periwinkle	Thong	lace & mesh	1500	3	6,45	42,00	 R65,52 	 R23,00 	 R88,52 	89,50	1,09%	 R132 780,00 	 R134 250,00 	 R1 470,00 	 R0,98 	1,04	0,52
																				
TP133	YZM	01-Jun-20	Black & plum heart flock mesh	Balconette push up	Lace & mesh	2500	2	13,33	46,00	 R98,90 		 R98,90 	124,00	20,24%	 R247 250,00 	 R310 000,00 	 R62 750,00 	 R25,10 	2,15	1,08
TP134	YZM	01-Jun-20	Black & plum heart flock mesh	bikini	lace & mesh	2500	3	6,51	46,00	 R72,45 		 R72,45 	93,50	22,51%	 R181 125,00 	 R233 750,00 	 R52 625,00 	 R21,05 	1,05	0,53
																				
TP135	MLF	31-Aug-20	Stripe mesh push up balconette mulitway	mulitway - silicone	stripe mesh	2200	2	13,45	46,00	 R99,82 		 R99,82 	125,50	20,46%	 R219 604,00 	 R276 100,00 	 R56 496,00 	 R25,68 	2,17	1,09
		#REF!				500	1	14,45	46,00	 R53,59 	 R1,00 	 R54,59 	69,00	20,88%	 R27 295,00 	 R34 500,00 	 R7 205,00 	 R14,41 	2,33	1,17
		#REF!				500	1	14,45	46,00	 R53,59 	 R1,00 	 R54,59 	67,00	18,52%	 R27 295,00 	 R33 500,00 	 R6 205,00 	 R12,41 	2,33	1,17
TP1350	MLF	31-Aug-20	Stripe mesh push up balconette mulitway	extended 	stripe mesh	2200	2	14,38	46,00	 R106,72 		 R106,72 	129,50	17,59%	 R234 784,00 	 R284 900,00 	 R50 116,00 	 R22,78 	2,32	1,16
TP13500	MLF	01-Sept-20	additional extended 	additional extended 	stripe mesh	500	2	14,88	46,00	 R110,40 		 R110,40 	129,50	14,75%	 R55 200,00 	 R64 750,00 	 R9 550,00 	 R19,10 	2,40	1,20
TP136	MLF	31-Aug-20	stripe mesh bikini	bikini	stripe mesh	3400	3	6,63	46,00	 R73,83 		 R73,83 	89,50	17,51%	 R251 022,00 	 R304 300,00 	 R53 278,00 	 R15,67 	1,07	0,54
																			0,00	0,00
TP141	CJT	27-Jul-20	long line with U gore	long line 	mesh & lace 	2480	2	13,95	46,00	 R103,50 		 R103,50 	129,50	20,08%	 R256 680,00 	 R321 160,00 	 R64 480,00 	 R26,00 	2,25	1,13
TP142	CJT	27-Jul-20	low rise bikini 	bikini	stripe mesh	2480	3	6,57	46,00	 R73,14 		 R73,14 	89,00	17,82%	 R181 387,20 	 R220 720,00 	 R39 332,80 	 R15,86 	1,06	0,53
								0,00	0,00										0,00	0,00
TP145	JH	20 July 2020 	Triangle cups Red & black 	Triangle cups	mesh & lace 	1800	2	13,64	46,00	 R101,20 		 R101,20 	118,00	14,24%	 R182 160,00 	 R212 400,00 	 R30 240,00 	 R16,80 	2,20	1,10
		#REF!				1800	2	14,01	46,00	 R103,96 		 R103,96 	125,00	16,83%	 R187 128,00 	 R225 000,00 	 R37 872,00 	 R21,04 	2,26	1,13
TP146	JH	20 July 2020 	matching bottom 	brazilian	stripe mesh	1800	3	6,20	46,00	 R69,00 		 R69,00 	86,00	19,77%	 R124 200,00 	 R154 800,00 	 R30 600,00 	 R17,00 	1,00	0,50
								0,00	0,00										0,00	0,00
TP149	CJT	30-Nov-20	White & slate - multiway bra	NON PUSH UP BAL	mesh & lace 	2200	2	13,39	46,00	 R99,36 		 R99,36 	125,50	20,83%	 R218 592,00 	 R276 100,00 	 R57 508,00 	 R26,14 	2,16	1,08
TP150	CJT	30-Nov-20	low rise bikini 	Bikini 	mesh & lace 	2200	3	6,82	46,00	 R75,90 		 R75,90 	89,50	15,20%	 R166 980,00 	 R196 900,00 	 R29 920,00 	 R13,60 	1,10	0,55
								0,00	0,00										0,00	0,00
TP151	CJT	28-Sept-20	T-shirt cups long line - pink & blue	T-shirt cups long line	Lace & mesh 	2600	2	13,39	46,00	 R99,36 		 R99,36 	125,50	20,83%	 R258 336,00 	 R326 300,00 	 R67 964,00 	 R26,14 	2,16	1,08
